Occupation (NOC),Low,Median,High,Province
Economists and economic policy researchers and analysts (41401),30.77,44.26,65.44,ON
Business development officers and market researchers and analysts (41402),22,42.48,72.12,ON
"Social policy researchers, consultants and program officers (41403)",25,41.35,59.49,ON
"Health policy researchers, consultants and program officers (41404)",25.96,38.97,57.37,ON
"Education policy researchers, consultants and program officers (41405)",23.08,39.95,60.61,ON
"Recreation, sports and fitness policy researchers, consultants and program officers (41406)",19.23,30.29,43.41,ON
Program officers unique to government (41407),34.62,51.28,70.26,ON
Other professional occupations in social science (41409),19.55,39.59,60.11,ON
Police officers (except commissioned) (42100),32,50,60,ON
Firefighters (42101),28.85,48.08,59.83,ON
Specialized members of the Canadian Armed Forces (42102),23.72,32.63,46.88,ON
Paralegals and related occupations (42200),19.23,32.44,46.7,ON
Social and community service workers (42201),18,25,37.91,ON
Early childhood educators and assistants (42202),16.55,20.51,28,ON
Instructors of persons with disabilities (42203),20.89,26.66,32.72,ON
Religion workers (42204),16.55,20,30.29,ON
Elementary and secondary school teacher assistants (43100),16.55,24.04,30.55,ON
Other instructors (43109),16.55,19.5,26.66,ON
Sheriffs and bailiffs (43200),24.16,39.36,47.6,ON
Correctional service officers (43201),27.5,36,44.71,ON
By-law enforcement and other regulatory officers (43202),21,39.79,48,ON
"Border services, customs, and immigration officers (43203)",28,35.9,55.38,ON
Operations Members of the Canadian Armed Forces (43204),24.7,32.86,46.31,ON
Home child care providers (44100),16.55,17,21,ON
"Home support workers, caregivers and related occupations (44101)",16.55,20,27,ON
Primary combat members of the Canadian Armed Forces (44200),20.25,33.33,41.24,ON
"Student monitors, crossing guards and related occupations (45100)",16.55,24,31.39,ON
"Library, archive, museum and art gallery managers (50010)",31.01,53.33,67.31,ON
"Managers - publishing, motion pictures, broadcasting and performing arts (50011)",20.34,36.14,54.21,ON
"Recreation, sports and fitness program and service directors (50012)",20.83,34.07,76.92,ON
Librarians (51100),27,39,53.85,ON
Conservators and curators (51101),25.48,39.5,54.89,ON
Archivists (51102),24.28,41.36,58.01,ON
Editors (51110),18,32.97,47.18,ON
Authors and writers (except technical) (51111),18.03,41.03,46.67,ON
Technical writers (51112),21,33.65,66.67,ON
Journalists (51113),19.23,35.82,48.08,ON
"Translators, terminologists and interpreters (51114)",19.2,30,38.46,ON
"Producers, directors, choreographers and related occupations (51120)",20.5,35.43,50,ON
"Conductors, composers and arrangers (51121)","35,320","39,600","117,000",ON
Musicians and singers (51122),"35,320","35,320","63,200",ON
Library and public archive technicians (52100),16.55,29,44.62,ON
Film and video camera operators (52110),16.55,33.45,53.5,ON
Graphic arts technicians (52111),17,26,41.84,ON
Broadcast technicians (52112),23.04,39.21,56.16,ON
Audio and video recording technicians (52113),19,26,43.75,ON
Announcers and other broadcasters (52114),19,33.85,81.73,ON
"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts (52119)",17,31.5,47.38,ON
Graphic designers and illustrators (52120),18.28,31.25,43.59,ON
Interior designers and interior decorators (52121),18,26.55,44,ON
"Registrars, restorers, interpreters and other occupations related to museum and art galleries (53100)",16.55,18.75,31.32,ON
Photographers (53110),17,20,40.87,ON
"Motion pictures, broadcasting, photography and performing arts assistants and operators (53111)",16.55,23.25,35.27,ON
Dancers (53120),17,28.14,48,ON
"Actors, comedians and circus performers (53121)",16.55,19.2,35,ON
"Painters, sculptors and other visual artists (53122)",16.68,25.82,43.37,ON
"Theatre, fashion, exhibit and other creative designers (53123)",17,22,41.03,ON
Artisans and craftspersons (53124),16.55,19,27,ON
Athletes (53200),16.55,24,46.9,ON
Coaches (53201),16.55,25,45,ON
Sports officials and referees (53202),16.55,20,36,ON
"Program leaders and instructors in recreation, sport and fitness (54100)",16.55,18,30,ON
Corporate sales managers (60010),25.64,57.69,96.15,ON
Retail and wholesale trade managers (60020),20,40.38,83.48,ON
Restaurant and food service managers (60030),16.55,22,48.08,ON
Accommodation service managers (60031),25,38.46,62.77,ON
Managers in customer and personal services (60040),17,35,56.84,ON
Retail sales supervisors (62010),16.55,20.15,36.06,ON
Food service supervisors (62020),16.55,17,25,ON
Executive housekeepers (62021),16.55,20.5,26.25,ON
"Accommodation, travel, tourism and related services supervisors (62022)",16.55,21.15,44.71,ON
Customer and information services supervisors (62023),16.55,28.02,47,ON
Cleaning supervisors (62024),17.17,25,37.34,ON
Other services supervisors (62029),16.55,24.5,46.15,ON
Technical sales specialists - wholesale trade (62100),19.67,35.9,64.9,ON
Retail and wholesale buyers (62101),16.55,29.74,48.08,ON
Chefs (62200),16.55,20,28.85,ON
Funeral directors and embalmers (62201),18.46,30,52.88,ON
"Jewellers, jewellery and watch repairers and related occupations (62202)",16.55,20,28,ON
Insurance agents and brokers (63100),19,29.81,54.05,ON
Real estate agents and salespersons (63101),"35,320","62,400","206,000",ON
Financial sales representatives (63102),19.97,28.98,53.42,ON
Cooks (63200),16.55,16.55,22,ON
Butchers - retail and wholesale (63201),16.55,18,23,ON
Bakers (63202),16.55,16.55,23,ON
Hairstylists and barbers (63210),16.55,17,30.77,ON
"Estheticians, electrologists and related occupations (63211)",16.55,17,24,ON
Upholsterers (63221),17,22,30,ON
Retail salespersons and visual merchandisers (64100),16.55,16.55,25,ON
Sales and account representatives - wholesale trade (non-technical) (64101),17,28.85,52.88,ON
"Tailors, dressmakers, furriers and milliners (64200)",16.55,18,25,ON
"Image, social and other personal consultants (64201)",16.55,26.04,58.81,ON
Maîtres d'hôtel and hosts/hostesses (64300),16.55,16.55,24.04,ON
Bartenders (64301),16.55,17,25,ON
Travel counsellors (64310),16.55,20,31.65,ON
Pursers and flight attendants (64311),21,35,64,ON
Airline ticket and service agents (64312),16.55,19,34.71,ON
"Ground and water transport ticket agents, cargo service representatives and related clerks (64313)",16.55,20,31.25,ON
Hotel front desk clerks (64314),16.55,17.45,25.91,ON
Tour and travel guides (64320),16.55,17,24.28,ON
Casino workers (64321),16.55,25,32,ON
Outdoor sport and recreational guides (64322),16.55,17.5,24.2,ON
Customer services representatives - financial institutions (64400),16.75,21.55,33.33,ON
Postal services representatives (64401),16.55,23.08,29.76,ON
Other customer and information services representatives (64409),16.55,19.23,31.25,ON
Security guards and related security service occupations (64410),16.55,17.56,28.85,ON
Cashiers (65100),16.55,16.55,17,ON
Service station attendants (65101),16.55,16.55,19.5,ON
