Occupation (NOC),Low,Median,High,Province
General practitioners and family physicians (31102),"87,686","193,993","338,900",NB
Veterinarians (31103),28.85,45,60.44,NB
Dentists (31110),N/A,"132,000",N/A,NB
Audiologists and speech-language pathologists (31112),41,44.63,52.4,NB
Pharmacists (31120),39,50,63.75,NB
Dietitians and nutritionists (31121),36,37.58,41,NB
Psychologists (31200),25.96,44.84,60,NB
Chiropractors (31201),N/A,"62,400",N/A,NB
Physiotherapists (31202),27.4,37.5,43.08,NB
Occupational therapists (31203),25,40.69,45.67,NB
Kinesiologists and other professional occupations in therapy and assessment (31204),23.75,33,43,NB
Nursing coordinators and supervisors (31300),18.6,41,53,NB
Registered nurses and registered psychiatric nurses (31301),31,40,46.55,NB
Nurse practitioners (31302),45.64,53,60,NB
"Physician assistants, midwives and allied health professionals (31303)",29.53,45.21,53.65,NB
Opticians (32100),17,19.91,30.1,NB
Licensed practical nurses (32101),23.45,26,31.8,NB
Paramedical occupations (32102),24,26,31.36,NB
"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists (32103)",28,33,48.21,NB
Animal health technologists and veterinary technicians (32104),15,16.5,24,NB
Other technical occupations in therapy and assessment (32109),14.75,25,37,NB
Dental hygienists and dental therapists (32111),22,37.75,42,NB
Dental technologists and technicians (32112),19.39,22.87,28.94,NB
Medical laboratory technologists (32120),25,34,42.25,NB
Medical radiation technologists (32121),30.82,33,38.46,NB
Medical sonographers (32122),20,38,45.63,NB
Cardiology technologists and electrophysiological diagnostic technologists (32123),19.79,28.08,37,NB
Pharmacy technicians (32124),14.75,18.5,23.23,NB
Other medical technologists and technicians (32129),N/A,22.78,N/A,NB
Massage therapists (32201),"31,555","31,555","56,000",NB
Dental assistants and dental laboratory assistants (33100),16.55,23,26,NB
Medical laboratory assistants and related technical occupations (33101),22,24.99,38,NB
"Nurse aides, orderlies and patient service associates (33102)",14.75,18,23.17,NB
Pharmacy technical assistants and pharmacy assistants (33103),15,20,24,NB
Other assisting occupations in support of health services (33109),14.75,18,23.23,NB
Government managers - health and social policy development and program administration (40010),36,53.84,72,NB
"Government managers - economic analysis, policy development and program administration (40011)",47.69,55.74,63.59,NB
Government managers - education policy development and program administration (40012),N/A,45.03,N/A,NB
Other managers in public administration (40019),39.68,53.12,84,NB
Administrators - post-secondary education and vocational training (40020),25.64,50,74.52,NB
School principals and administrators of elementary and secondary education (40021),26.91,47.12,52.88,NB
"Managers in social, community and correctional services (40030)",20.8,27.1,54,NB
Commissioned police officers and related occupations in public protection services (40040),N/A,49.83,N/A,NB
Fire chiefs and senior firefighting officers (40041),N/A,51.12,N/A,NB
Commissioned officers of the Canadian Armed Forces (40042),21.59,34.78,47.97,NB
Judges (41100),"306,960","383,700","383,700",NB
Lawyers and Quebec notaries (41101),15.93,44.21,84.92,NB
University professors and lecturers (41200),25.96,53.37,76.92,NB
Post-secondary teaching and research assistants (41201),14.75,27,40.87,NB
College and other vocational instructors (41210),22.5,32,45.67,NB
Secondary school teachers (41220),26.44,37.91,43.27,NB
Elementary school and kindergarten teachers (41221),24.04,38.46,45.46,NB
Social workers (41300),25,35,42,NB
Therapists in counselling and related specialized therapies (41301),16.8,25,42,NB
Religious leaders (41302),14.75,24.04,33.41,NB
Police investigators and other investigative occupations (41310),35.38,51.86,66.39,NB
Probation and parole officers (41311),32.69,37.41,47.18,NB
Educational counsellors (41320),20.67,38.29,48.56,NB
Career development practitioners and career counsellors (except education) (41321),20,28.57,40,NB
"Natural and applied science policy researchers, consultants and program officers (41400)",28,36.77,58.76,NB
Economists and economic policy researchers and analysts (41401),22.79,40.29,64.1,NB
Business development officers and market researchers and analysts (41402),23.08,36.02,44.87,NB
"Social policy researchers, consultants and program officers (41403)",21,37.95,56.41,NB
"Health policy researchers, consultants and program officers (41404)",30.1,37.95,46.63,NB
"Education policy researchers, consultants and program officers (41405)",26.71,43,51.6,NB
"Recreation, sports and fitness policy researchers, consultants and program officers (41406)",N/A,29.7,N/A,NB
Program officers unique to government (41407),21,38.2,45.35,NB
Other professional occupations in social science (41409),23.36,37.73,52.29,NB
Police officers (except commissioned) (42100),26.92,45,57.69,NB
Firefighters (42101),25.64,38.92,44.87,NB
Specialized members of the Canadian Armed Forces (42102),N/A,27.53,N/A,NB
Paralegals and related occupations (42200),17.5,21.03,31.6,NB
Social and community service workers (42201),15,19,28.21,NB
Early childhood educators and assistants (42202),14.75,18.38,23,NB
Instructors of persons with disabilities (42203),16.2,19.9,31.95,NB
Religion workers (42204),14.75,20,31.38,NB
Elementary and secondary school teacher assistants (43100),20,27.9,32.45,NB
Other instructors (43109),14.75,20,27.5,NB
Sheriffs and bailiffs (43200),N/A,26.96,N/A,NB
Correctional service officers (43201),23.5,32.85,42.5,NB
By-law enforcement and other regulatory officers (43202),N/A,27.04,N/A,NB
"Border services, customs, and immigration officers (43203)",25.64,31.6,45,NB
Operations Members of the Canadian Armed Forces (43204),24.54,28.94,35.43,NB
Home child care providers (44100),14.75,15.15,20,NB
"Home support workers, caregivers and related occupations (44101)",14.75,15.5,18,NB
Primary combat members of the Canadian Armed Forces (44200),20.89,33.94,39.15,NB
"Library, archive, museum and art gallery managers (50010)",16.5,30.22,46.7,NB
"Managers - publishing, motion pictures, broadcasting and performing arts (50011)",21.57,35.47,70.13,NB
"Recreation, sports and fitness program and service directors (50012)",17,26.44,44.51,NB
Librarians (51100),24.29,34.53,54.04,NB
Editors (51110),N/A,30.49,N/A,NB
Authors and writers (except technical) (51111),14.75,29.07,45,NB
Technical writers (51112),23.62,34.23,46.25,NB
Journalists (51113),19.47,34.87,43.27,NB
"Translators, terminologists and interpreters (51114)",23,30.77,43.5,NB
"Producers, directors, choreographers and related occupations (51120)",N/A,31.07,N/A,NB
Musicians and singers (51122),N/A,"34,000",N/A,NB
Library and public archive technicians (52100),N/A,25.16,N/A,NB
Film and video camera operators (52110),21.07,31.39,44.58,NB
Graphic arts technicians (52111),N/A,23.08,N/A,NB
Audio and video recording technicians (52113),14.75,23.4,37,NB
Announcers and other broadcasters (52114),16.43,22,39.88,NB
"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts (52119)",19.83,30.35,48.19,NB
Graphic designers and illustrators (52120),15.85,28.95,45,NB
Interior designers and interior decorators (52121),15,20,34.19,NB
"Registrars, restorers, interpreters and other occupations related to museum and art galleries (53100)",14.75,16.14,23.66,NB
Photographers (53110),14.75,21,40,NB
"Motion pictures, broadcasting, photography and performing arts assistants and operators (53111)",14.75,18,34,NB
Artisans and craftspersons (53124),14.75,14.75,16.5,NB
Coaches (53201),14.75,22.16,40.87,NB
"Program leaders and instructors in recreation, sport and fitness (54100)",14.75,14.75,20,NB
Corporate sales managers (60010),20.5,48.08,66.67,NB
Retail and wholesale trade managers (60020),16,34.62,66,NB
Restaurant and food service managers (60030),15.5,19.23,28.5,NB
Accommodation service managers (60031),19.81,33.33,61.72,NB
Managers in customer and personal services (60040),22.66,33.05,68,NB
Retail sales supervisors (62010),14.75,17.98,31.25,NB
Food service supervisors (62020),14.75,14.75,19.62,NB
Executive housekeepers (62021),14.75,16.5,20.86,NB
"Accommodation, travel, tourism and related services supervisors (62022)",N/A,21.01,N/A,NB
Customer and information services supervisors (62023),17.33,24.52,36.92,NB
Cleaning supervisors (62024),16,20.35,28.37,NB
Other services supervisors (62029),17,21.45,57.69,NB
Technical sales specialists - wholesale trade (62100),17,25,40.87,NB
Retail and wholesale buyers (62101),14.75,21.03,29.81,NB
Chefs (62200),15,17.48,30.77,NB
Funeral directors and embalmers (62201),16,21.25,36.06,NB
Insurance agents and brokers (63100),16.1,23.08,30.22,NB
Real estate agents and salespersons (63101),"31,555","50,000","115,000",NB
Financial sales representatives (63102),18.97,26,42.05,NB
Cooks (63200),14.75,15,20,NB
Butchers - retail and wholesale (63201),14.75,17,22.5,NB
Bakers (63202),14.75,14.75,15.5,NB
Hairstylists and barbers (63210),14.75,17.19,22,NB
"Estheticians, electrologists and related occupations (63211)",14.75,14.75,18.75,NB
Retail salespersons and visual merchandisers (64100),14.75,14.75,24.62,NB
Sales and account representatives - wholesale trade (non-technical) (64101),16.48,23.08,37.98,NB
"Tailors, dressmakers, furriers and milliners (64200)",14.75,15,18.25,NB
Maîtres d'hôtel and hosts/hostesses (64300),14.75,14.75,20,NB
Bartenders (64301),14.75,14.75,17.5,NB
Travel counsellors (64310),15,20.3,25.64,NB
Pursers and flight attendants (64311),16.85,30.66,65.71,NB
Airline ticket and service agents (64312),16,21,31,NB
"Ground and water transport ticket agents, cargo service representatives and related clerks (64313)",14.75,17.77,26.89,NB
Hotel front desk clerks (64314),14.75,17,21.5,NB
Tour and travel guides (64320),14.75,14.75,15.5,NB
Outdoor sport and recreational guides (64322),14.75,17.5,21.17,NB
Customer services representatives - financial institutions (64400),16.7,20,25.13,NB
Postal services representatives (64401),14.75,24,30,NB
Other customer and information services representatives (64409),14.75,17.49,28,NB
Security guards and related security service occupations (64410),14.75,16.25,23,NB
Cashiers (65100),14.75,14.75,15.15,NB
Service station attendants (65101),14.75,14.75,16,NB
"Store shelf stockers, clerks and order fillers (65102)",14.75,14.75,18.9,NB
Other sales related occupations (65109),14.75,14.75,22,NB
Food and beverage servers (65200),14.75,14.75,20,NB
"Food counter attendants, kitchen helpers and related support occupations (65201)",14.75,14.75,18.54,NB
Meat cutters and fishmongers – retail and wholesale (65202),14.75,16.1,18,NB
"Operators and attendants in amusement, recreation and sport (65211)",14.75,15.5,30.55,NB
Pet groomers and animal care workers (65220),14.75,14.75,16.83,NB
Light duty cleaners (65310),14.75,15,20,NB
Specialized cleaners (65311),14.75,15,20,NB
"Janitors, caretakers and heavy-duty cleaners (65312)",14.75,18.5,22.34,NB
"Dry cleaning, laundry and related occupations (65320)",14.75,20.17,28,NB
Other service support occupations (65329),14.75,14.75,15,NB
Construction managers (70010),24.04,38.46,84.13,NB
Home building and renovation managers (70011),N/A,"47,200",N/A,NB
Facility operation and maintenance managers (70012),24.04,36.06,52.16,NB
Managers in transportation (70020),24.04,39.9,84.13,NB
Postal and courier services managers (70021),N/A,34.54,N/A,NB
"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations (72010)",22.25,37.39,53.93,NB
"Contractors and supervisors, electrical trades and telecommunications occupations (72011)",25,32,46,NB
"Contractors and supervisors, carpentry trades (72013)",20,26,32.69,NB
"Contractors and supervisors, other construction trades, installers, repairers and servicers (72014)",19,34.5,44,NB
"Contractors and supervisors, mechanic trades (72020)",20.28,32,52.88,NB
"Contractors and supervisors, heavy equipment operator crews (72021)",23,28.75,47.6,NB
"Supervisors, motor transport and other ground transit operators (72024)",20,27.95,37.5,NB
"Supervisors, mail and message distribution occupations (72025)",21,28,33.65,NB
Machinists and machining and tooling inspectors (72100),20,26,32,NB
Sheet metal workers (72102),18,25,34.15,NB
Boilermakers (72103),38.16,41.82,48.13,NB
Structural metal and platework fabricators and fitters (72104),18,22.1,29,NB
Ironworkers (72105),25,38.71,45.25,NB
Welders and related machine operators (72106),19,26,42.63,NB
Electricians (except industrial and power system) (72200),15.28,24,40.2,NB
Industrial electricians (72201),23,30,43,NB
Power system electricians (72202),N/A,37.19,N/A,NB
Electrical power line and cable workers (72203),20,40,45,NB
Telecommunications line and cable installers and repairers (72204),19,27.5,35.71,NB
Telecommunications equipment installation and cable television service technicians (72205),20,33,43.27,NB
Plumbers (72300),16,25,34.49,NB
"Steamfitters, pipefitters and sprinkler system installers (72301)",25,40.66,46.3,NB
Gas fitters (72302),22.35,32.17,43.62,NB
Carpenters (72310),17,23,31.25,NB
Cabinetmakers (72311),15.56,20,25,NB
Bricklayers (72320),21,30,45,NB
Insulators (72321),19,27.47,37.03,NB
Construction millwrights and industrial mechanics (72400),19,30,40,NB
Heavy-duty equipment mechanics (72401),18,28.62,40,NB
"Heating, refrigeration and air conditioning mechanics (72402)",20,30,41,NB
Railway carmen/women (72403),29.37,38.78,46.7,NB
Aircraft mechanics and aircraft inspectors (72404),20,35,50,NB
Elevator constructors and mechanics (72406),33,46,53,NB
"Automotive service technicians, truck and bus mechanics and mechanical repairers (72410)",16,25,31.78,NB
"Auto body collision, refinishing and glass technicians and damage repair estimators (72411)",14.75,22.73,29,NB
Appliance servicers and repairers (72421),N/A,23.16,N/A,NB
Electrical mechanics (72422),21.55,30.69,35.08,NB
"Motorcycle, all-terrain vehicle and other related mechanics (72423)",N/A,21.04,N/A,NB
Other small engine and small equipment repairers (72429),15,19,23,NB
Crane operators (72500),20,32.9,44.5,NB
"Air pilots, flight engineers and flying instructors (72600)",19,53.05,95.19,NB
Air traffic controllers and related occupations (72601),36.79,69.99,88.53,NB
"Deck officers, water transport (72602)",23.08,36,65.38,NB
Other technical trades and related occupations (72999),14.75,23,29.2,NB
Concrete finishers (73100),17,21,25,NB
"Plasterers, drywall installers and finishers and lathers (73102)",18.08,25,30.39,NB
Roofers and shinglers (73110),17.54,22,30,NB
Glaziers (73111),16.5,20.5,27,NB
Painters and decorators (except interior decorators) (73112),15,20,26,NB
Floor covering installers (73113),18.08,20.91,26.85,NB
Residential and commercial installers and servicers (73200),14.75,21,30,NB
General building maintenance workers and building superintendents (73201),14.75,18.65,24.04,NB
Pest controllers and fumigators (73202),N/A,20.63,N/A,NB
Other repairers and servicers (73209),15,20.77,45.4,NB
Transport truck drivers (73300),15,20.33,27,NB
"Bus drivers, subway operators and other transit operators (73301)",15,20.28,26.25,NB
Railway and yard locomotive engineers (73310),N/A,50.54,N/A,NB
Railway conductors and brakemen/women (73311),N/A,36.82,N/A,NB
Heavy equipment operators (73400),19,23,31.67,NB
Printing press operators (73401),N/A,22.16,N/A,NB
Mail and parcel sorters and related occupations (74100),16.5,21.83,29.18,NB
Letter carriers (74101),21.98,29,35.62,NB
Couriers and messengers (74102),15,19.23,49.33,NB
Railway yard and track maintenance workers (74200),20.45,32.09,42.29,NB
Water transport deck and engine room crew (74201),16.83,20,27.54,NB
Air transport ramp attendants (74202),14.75,17,31.25,NB
Automotive and heavy truck and equipment parts installers and servicers (74203),15,19,29.2,NB
Public works maintenance equipment operators and related workers (74205),18,23.72,29.25,NB
Longshore workers (75100),16.16,26.57,45.94,NB
Material handlers (75101),14.75,18,25,NB
Construction trades helpers and labourers (75110),15,19,24.92,NB
Other trades helpers and labourers (75119),15,19.73,25.64,NB
Delivery service drivers and door-to-door distributors (75201),14.75,16.35,30,NB
Boat and cable ferry operators and related occupations (75210),16.07,21.74,33.35,NB
Railway and motor transport labourers (75211),14.75,17,24.33,NB
Public works and maintenance labourers (75212),14.75,20,27,NB
Managers in natural resources production and fishing (80010),N/A,41.61,N/A,NB
Managers in agriculture (80020),15,20.6,58.82,NB
Managers in aquaculture (80022),N/A,28.8,N/A,NB
"Supervisors, logging and forestry (82010)",18.33,24,35.17,NB
"Contractors and supervisors, oil and gas drilling and services (82021)",26.57,46.32,89.74,NB
"Contractors and supervisors, landscaping, grounds maintenance and horticulture services (82031)",16.5,20,32.5,NB
Underground production and development miners (83100),23.81,34.93,50.96,NB
"Oil and gas well drillers, servicers, testers and related workers (83101)",19.15,31.57,50.09,NB
Logging machinery operators (83110),19,24,27,NB
Fishermen/women (83121),15.5,20,50,NB
Chain saw and skidder operators (84110),18,21,29,NB
Silviculture and forestry workers (84111),14.75,25.64,28,NB
Specialized livestock workers and farm machinery operators (84120),14.75,19,20.79,NB
Fishing vessel deckhands (84121),15,20,30,NB
Livestock labourers (85100),14.75,18,25.79,NB
Harvesting labourers (85101),14.75,17.5,22,NB
Aquaculture and marine harvest labourers (85102),15.37,18.5,28.33,NB
Nursery and greenhouse labourers (85103),14.75,17,28.08,NB
Mine labourers (85110),15.22,29.08,52.7,NB
"Oil and gas drilling, servicing and related labourers (85111)",14.75,21.63,29,NB
Logging and forestry labourers (85120),15,20,26.3,NB
Landscaping and grounds maintenance labourers (85121),14.75,15,20.01,NB
Manufacturing managers (90010),20.67,42.56,62.5,NB
Utilities managers (90011),21.43,54.33,88.94,NB
"Supervisors, mineral and metal processing (92010)",22.09,35.32,59.8,NB
"Supervisors, petroleum, gas and chemical processing and utilities (92011)",18.75,42.53,55.82,NB
"Supervisors, food and beverage processing (92012)",17,25,38.46,NB
"Supervisors, forest products processing (92014)",21.42,29.07,48,NB
"Supervisors, other mechanical and metal products manufacturing (92023)",18.75,32,45.67,NB
"Supervisors, other products manufacturing and assembly (92024)",19.12,25.53,33.45,NB
Power engineers and power systems operators (92100),22,37,55,NB
Water and waste treatment plant operators (92101),20.07,28.5,54,NB
"Central control and process operators, petroleum, gas and chemical processing (93101)",33.65,45,68.68,NB
"Machine operators, mineral and metal processing (94100)",17.36,22.06,25.94,NB
"Concrete, clay and stone forming operators (94103)",16,21,25.25,NB
Metalworking and forging machine operators (94105),15,20,23,NB
Machining tool operators (94106),16.68,20.95,27.08,NB
Chemical plant machine operators (94110),19.56,26.64,41.2,NB
Plastics processing machine operators (94111),14.75,20,27,NB
Sawmill machine operators (94120),14.75,19.5,23,NB
"Pulp mill, papermaking and finishing machine operators (94121)",20.76,34,39.5,NB
Paper converting machine operators (94122),19,27,33,NB
Lumber graders and other wood processing inspectors and graders (94123),20.02,23.5,26,NB
Woodworking machine operators (94124),15.15,19.75,27,NB
Other wood processing machine operators (94129),16,21.21,24,NB
"Process control and machine operators, food and beverage processing (94140)",14.75,18,22.81,NB
Fish and seafood plant workers (94142),15,16,18,NB
"Testers and graders, food and beverage processing (94143)",14.94,19.4,31,NB
"Electronics assemblers, fabricators, inspectors and testers (94201)",15,20.26,28,NB
Mechanical assemblers and inspectors (94204),15.5,24,44,NB
"Furniture and fixture assemblers, finishers, refinishers and inspectors (94210)",14.75,18,24.25,NB
Assemblers and inspectors of other wood products (94211),14.75,17.25,22.25,NB
"Industrial painters, coaters and metal finishing process operators (94213)",16,21.85,31,NB
"Other products assemblers, finishers and inspectors (94219)",14.75,20,26.43,NB
Labourers in mineral and metal processing (95100),15,21,29.26,NB
Labourers in metal fabrication (95101),15,19,25,NB
Labourers in chemical products processing and utilities (95102),14.75,19.13,25.51,NB
"Labourers in wood, pulp and paper processing (95103)",14.75,18.07,22.5,NB
Labourers in rubber and plastic products manufacturing (95104),14.75,17,20.58,NB
Labourers in food and beverage processing (95106),14.75,15.53,21.82,NB
Labourers in fish and seafood processing (95107),15,16.5,19.5,NB
"Other labourers in processing, manufacturing and utilities (95109)",14.75,16.5,20,NB
Legislators (00010),N/A,"99,000",N/A,NL
Senior government managers and officials (00011),28.66,50.93,80.24,NL
"Senior managers - financial, communications and other business services (00012)",41.21,76.92,104.9,NL
Financial managers (10010),31.25,48.85,76.92,NL
Human resources managers (10011),22.86,48.08,66.67,NL
Purchasing managers (10012),36.67,45.13,68.68,NL
Other administrative services managers (10019),26.44,38.46,52.82,NL
"Insurance, real estate and financial brokerage managers (10020)",25.48,51.28,72.12,NL
"Banking, credit and other investment managers (10021)",33.33,43.59,56.41,NL
"Advertising, marketing and public relations managers (10022)",40.4,54.95,72.12,NL
Other business services managers (10029),26.51,46.3,70.85,NL
Telecommunication carriers managers (10030),33,43.59,61.54,NL
Financial auditors and accountants (11100),20,36.25,56.56,NL
Financial and investment analysts (11101),24.62,44.1,53.85,NL
Financial advisors (11102),19.6,26.92,43.75,NL
Other financial officers (11109),20.77,27.69,60,NL
Human resources professionals (11200),22,36.02,57.69,NL
Professional occupations in business management consulting (11201),27.5,43.75,54.95,NL
"Professional occupations in advertising, marketing and public relations (11202)",16.5,26.92,46.15,NL
"Supervisors, general office and administrative support workers (12010)",20,30,41.04,NL
"Supervisors, finance and insurance office workers (12011)",21.54,27.4,34.15,NL
"Supervisors, library, correspondence and related information workers (12012)",15.54,24.96,40.84,NL
"Supervisors, supply chain, tracking and scheduling coordination occupations (12013)",18,30.77,40,NL
Executive assistants (12100),21.43,27.18,35.23,NL
Human resources and recruitment officers (12101),18,29,44.23,NL
Procurement and purchasing agents and officers (12102),20.88,36.71,50,NL
Conference and event planners (12103),15.08,24.29,33.17,NL
Employment insurance and revenue officers (12104),27,31.79,43.8,NL
Health information management occupations (12111),18.5,26.3,48.39,NL
Records management technicians (12112),19.23,28,38.46,NL
Accounting technicians and bookkeepers (12200),17,25.36,38.46,NL
Insurance adjusters and claims examiners (12201),16.01,31.73,43.44,NL
Insurance underwriters (12202),17.31,28.57,40,NL
"Assessors, business valuators and appraisers (12203)",N/A,35.03,N/A,NL
Administrative officers (13100),19,28,44.23,NL
Property administrators (13101),18.75,27.47,56.04,NL
Payroll administrators (13102),16.1,26,33.79,NL
Administrative assistants (13110),17,23.63,28.65,NL
Legal administrative assistants (13111),18.13,24.04,29.92,NL
Medical administrative assistants (13112),17,22.5,27.54,NL
General office support workers (14100),15,22.39,29.16,NL
Receptionists (14101),15,19.23,24,NL
Personnel clerks (14102),18.7,27,33.65,NL
Court clerks and related court services occupations (14103),24,29.81,41.62,NL
Survey interviewers and statistical clerks (14110),15,17.83,29,NL
Data entry clerks (14111),15.81,24.16,26.67,NL
Accounting and related clerks (14200),15.25,22.5,32.29,NL
"Banking, insurance and other financial clerks (14201)",21.98,26.78,28,NL
Collection clerks (14202),26,26,30.09,NL
Library assistants and clerks (14300),15,21,25.27,NL
"Correspondence, publication and regulatory clerks (14301)",16,24.73,33,NL
Shippers and receivers (14400),15,18,25,NL
Storekeepers and partspersons (14401),15,22.12,31.6,NL
Purchasing and inventory control workers (14403),15,20,30.77,NL
Dispatchers (14404),19.5,27,50,NL
Transportation route and crew schedulers (14405),18.79,22.05,29.97,NL
Engineering managers (20010),40.87,60,96.15,NL
Architecture and science managers (20011),33.65,57,89.9,NL
Computer and information systems managers (20012),27.4,60,97.44,NL
Chemists (21101),N/A,44.41,N/A,NL
Geoscientists and oceanographers (21102),27,45.22,74.1,NL
Meteorologists and climatologists (21103),29.14,41.01,62.7,NL
Biologists and related scientists (21110),25.48,42.56,68.21,NL
Public and environmental health and safety professionals (21120),28,35,52,NL
Architects (21200),N/A,39.84,N/A,NL
Urban and land use planners (21202),29.62,45.86,72,NL
Land surveyors (21203),N/A,36.71,N/A,NL
"Mathematicians, statisticians and actuaries (21210)",N/A,37.02,N/A,NL
Cybersecurity specialists (21220),N/A,49.17,N/A,NL
Business systems specialists (21221),27.5,32.82,50,NL
Information systems specialists (21222),23.56,40.37,60.51,NL
Database analysts and data administrators (21223),30,42.21,56.41,NL
Computer systems developers and programmers (21230),23,38.46,45.67,NL
Software engineers and designers (21231),24.04,46.7,62.02,NL
Software developers and programmers (21232),22,38,67.31,NL
Web designers (21233),17.09,28.27,49.17,NL
Web developers and programmers (21234),N/A,35.94,N/A,NL
Civil engineers (21300),23,35,58,NL
Mechanical engineers (21301),31.75,43.27,67.6,NL
Electrical and electronics engineers (21310),36.83,55.29,79.33,NL
Computer engineers (except software engineers and designers) (21311),29.06,46.55,64.42,NL
Chemical engineers (21320),34.84,52.56,71.68,NL
Industrial and manufacturing engineers (21321),N/A,51.84,N/A,NL
Metallurgical and materials engineers (21322),28.65,47.25,72.38,NL
Mining engineers (21330),22,48,54.12,NL
Geological engineers (21331),36.72,50.27,71.64,NL
Petroleum engineers (21332),37.5,61.54,80.77,NL
Other professional engineers (21399),30,44.6,74.52,NL
Geological and mineral technologists and technicians (22101),17,28,37.5,NL
Biological technologists and technicians (22110),15,20.2,31,NL
Agricultural and fish products inspectors (22111),N/A,37.46,N/A,NL
Forestry technologists and technicians (22112),21.25,31,36.48,NL
Conservation and fishery officers (22113),27,34.5,40.11,NL
Landscape and horticulture technicians and specialists (22114),15,18,22.5,NL
Architectural technologists and technicians (22210),19,24.9,35.49,NL
Drafting technologists and technicians (22212),18.27,23.08,35,NL
Land survey technologists and technicians (22213),23.55,33.3,49.59,NL
Technical occupations in geomatics and meteorology (22214),22.87,32.89,44.63,NL
Computer network and web technicians (22220),17,27.22,33,NL
User support technicians (22221),15,28.6,40.62,NL
Non-destructive testers and inspectors (22230),22.33,36.95,51,NL
Engineering inspectors and regulatory officers (22231),N/A,44.79,N/A,NL
Occupational health and safety specialists (22232),23.53,38.46,53.87,NL
Construction inspectors (22233),23.08,30,45.65,NL
Civil engineering technologists and technicians (22300),15,27.5,46.5,NL
Mechanical engineering technologists and technicians (22301),25.3,40.77,60.45,NL
Industrial engineering and manufacturing technologists and technicians (22302),21.25,31.63,44.67,NL
Construction estimators (22303),N/A,38.18,N/A,NL
Electrical and electronics engineering technologists and technicians (22310),22,31.62,43,NL
Electronic service technicians (household and business equipment) (22311),19.71,25,41.35,NL
Industrial instrument technicians and mechanics (22312),32,45.48,82,NL
"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors (22313)",28.53,45.23,59,NL
Managers in health care (30010),26,48.5,61.54,NL
Specialists in clinical and laboratory medicine (31100),"111,581","245,344","487,278",NL
Specialists in surgery (31101),"137,413","349,462","637,113",NL
General practitioners and family physicians (31102),"95,825","202,089","366,584",NL
Veterinarians (31103),N/A,56.02,N/A,NL
Dentists (31110),N/A,"180,000",N/A,NL
Audiologists and speech-language pathologists (31112),37.5,45,52.4,NL
Pharmacists (31120),39.58,44.8,55,NL
Dietitians and nutritionists (31121),35.38,37.85,43.59,NL
Psychologists (31200),25.96,44.84,60,NL
Physiotherapists (31202),33.33,42.05,50,NL
Occupational therapists (31203),42,45.8,50.26,NL
Kinesiologists and other professional occupations in therapy and assessment (31204),23.75,33,43,NL
Nursing coordinators and supervisors (31300),20,48,54.33,NL
Registered nurses and registered psychiatric nurses (31301),32,41.24,45.62,NL
Nurse practitioners (31302),48,52,54,NL
Opticians (32100),17,25,33,NL
Licensed practical nurses (32101),25,28,29,NL
Paramedical occupations (32102),20,26,37.5,NL
"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists (32103)",N/A,41.63,N/A,NL
Animal health technologists and veterinary technicians (32104),16.75,19,32,NL
Other technical occupations in therapy and assessment (32109),15.25,26.5,52.4,NL
Dental hygienists and dental therapists (32111),34.72,46.67,66.67,NL
Dental technologists and technicians (32112),18.77,24.08,30.26,NL
Medical laboratory technologists (32120),28.94,37.5,43.3,NL
Medical radiation technologists (32121),30.71,36,50,NL
Medical sonographers (32122),N/A,44.62,N/A,NL
Cardiology technologists and electrophysiological diagnostic technologists (32123),N/A,40,N/A,NL
Pharmacy technicians (32124),15,25.48,28,NL
Other medical technologists and technicians (32129),19.37,28.38,36.38,NL
Massage therapists (32201),N/A,"36,400",N/A,NL
Dental assistants and dental laboratory assistants (33100),15,22,27,NL
Medical laboratory assistants and related technical occupations (33101),21.14,26.94,44,NL
"Nurse aides, orderlies and patient service associates (33102)",15,17.35,23.74,NL
Pharmacy technical assistants and pharmacy assistants (33103),15,16.7,26,NL
Other assisting occupations in support of health services (33109),17,23.74,28,NL
Government managers - health and social policy development and program administration (40010),36,53.84,72,NL
"Government managers - economic analysis, policy development and program administration (40011)",43.38,55.74,72,NL
Government managers - education policy development and program administration (40012),N/A,56.17,N/A,NL
Other managers in public administration (40019),32.5,51.28,76.92,NL
Administrators - post-secondary education and vocational training (40020),25.64,50,74.52,NL
School principals and administrators of elementary and secondary education (40021),48.08,51.1,62.64,NL
"Managers in social, community and correctional services (40030)",24.28,36.06,55.29,NL
Fire chiefs and senior firefighting officers (40041),35.52,49.42,71.08,NL
Commissioned officers of the Canadian Armed Forces (40042),N/A,43.78,N/A,NL
Judges (41100),"247,546","395,700","395,700",NL
Lawyers and Quebec notaries (41101),27.7,56.7,140.24,NL
University professors and lecturers (41200),25.71,51.28,81.73,NL
Post-secondary teaching and research assistants (41201),15.6,22.22,42.31,NL
College and other vocational instructors (41210),19.71,36,56.67,NL
Secondary school teachers (41220),38.75,45.67,63.85,NL
Elementary school and kindergarten teachers (41221),27.47,44.71,59.62,NL
Social workers (41300),35,39.01,47,NL
Therapists in counselling and related specialized therapies (41301),24.21,33.33,41.67,NL
